Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,Mode,TStep,Comment
192,SR5P,145.725000,-,0.600000,Tone,110.9,88.5,FM,12.5,Płock
193,SR5PL,439.125000,-,7.600000,,88.5,88.5,FM,12.5,Płock
195,SR5PN,145.662500,-,0.600000,Tone,127.3,88.5,FM,12.5,Płońsk
196,SR5PR,439.175000,-,7.600000,,88.5,88.5,FM,12.5,Pruszków
197,SR5R,145.600000,-,0.600000,Tone,127.3,88.5,FM,12.5,Pruszków
198,SR5RA,438.925000,-,7.600000,Tone,118.8,118.8,FM,12.5,Radom
199,SR5RAD,145.787500,-,0.600000,Tone,118.8,118.8,FM,12.5,RADOM - maszt Emitel
200,SR5RK,438.750000,-,7.600000,Tone,118.8,118.8,FM,12.5,Kozłowiec - Przysucha RTCN
201,SR5RR,439.275000,-,7.600000,Tone,127.3,127.3,FM,12.5,Warszawa - Mokotów, ul. Iberyjska
202,SR5S,145.612500,-,0.600000,Tone,127.3,127.3,FM,12.5,Siedlce
203,SR5SE,431.150000,+,7.600000,Tone,127.3,127.3,FM,12.5,Siedlce
205,SR5U,145.775000,-,0.600000,,88.5,88.5,FM,12.5,Warszawa Ursus
206,SR5UOS,438.912500,-,7.600000,,88.5,88.5,DV,12.5,Ostrołęka
207,SR5UR,439.300000,-,7.600000,Tone,127.3,88.5,FM,12.5,Warszawa Ursus
209,SR5UVR,438.525000,-,7.600000,,88.5,88.5,DV,12.5,Radom
210,SR5VW,438.825000,-,7.600000,Tone,67.0,67.0,FM,12.5,Różan EMITEL
211,SR5W,145.750000,-,0.600000,Tone,127.3,127.3,FM,12.5,Warszawa - komin EC Kawęczyn
212,SR5WA,439.350000,-,7.600000,Tone,127.3,127.3,FM,12.5,Warszawa - komin EC Kawęczyn
215,SR5WC,438.600000,-,7.600000,,88.5,88.5,DV,12.5,Moszna-Parcela
217,SR5WP,438.625000,-,7.600000,Tone,127.3,127.3,FM,12.5,Moszna-Parcela
219,SR5WW,438.500000,-,7.600000,,88.5,88.5,DV,12.5,Warszawa
220,SR5WWL,438.462500,-,7.600000,Tone,127.3,127.3,FM,12.5,Ossów
221,SR5WZ,439.000000,-,7.600000,Tone,127.3,127.3,FM,12.5,Moszna-Parcela
222,SR5YAM,430.537500,+,0.000000,,88.5,88.5,DV,12.5,Komorów
223,SR5YM,438.300000,-,7.600000,,88.5,88.5,DV,12.5,Komorów
224,SR5ZQ,438.862500,-,7.600000,,88.5,88.5,DV,12.5,Skierniewice
225,SR5ZU,438.700000,-,7.600000,Tone,88.5,88.5,FM,12.5,Żuromin
226,SR6A,145.575000,-,0.600000,,88.5,88.5,DV,12.5,Brzeg
228,SR6ACZ,438.950000,-,7.600000,Tone,103.5,103.5,FM,12.5,Wrocław
229,SR6B,145.762500,-,0.600000,Tone,77.0,77.0,FM,12.5,Działoszyn - stacja meteo
230,SR6C,439.250000,-,7.600000,,88.5,88.5,FM,12.5,Bolesławiec
231,SR6DMO,438.625000,-,7.600000,Tone,94.8,94.8,FM,12.5,Oława
233,SR6DST,145.687500,-,0.600000,Tone,123.0,123.0,FM,12.5,Strzelin, Wieża Ciśnień
234,SR6DWS,438.462500,-,7.600000,,88.5,88.5,DV,12.5,Wielka Sowa
236,SR6F,145.750000,-,0.600000,Tone,71.9,71.9,FM,12.5,Wysoka k. Góry św. Anny EMITEL
237,SR6G,145.625000,-,0.600000,Tone,94.8,94.8,FM,12.5,Góra Ślęża EMITEL
238,SR6GL,438.750000,-,7.600000,,88.5,88.5,FM,12.5,Głubczyce
239,SR6J,145.675000,-,0.600000,Tone,67.0,67.0,FM,12.5,Góra Szrenica/Szklarska Poręba
240,SR6JG,438.675000,-,7.600000,Tone,67.0,67.0,FM,12.5,Góra Kopa/Karpacz
241,SR6K,145.737500,-,0.600000,,88.5,88.5,FM,12.5,Jugów
242,SR6LWS,439.287500,-,7.600000,Tone,94.8,94.8,FM,12.5,Wielka Sowa
243,SR6LZM,438.600000,-,7.600000,Tone,103.5,103.5,FM,12.5,Żmigród
244,SR6MA,438.725000,-,7.600000,Tone,94.8,88.5,FM,12.5,Góra Ślęża EMITEL
245,SR6NR,439.425000,-,7.600000,Tone,94.8,88.5,FM,12.5,Nowa Ruda-Słupiec
246,SR6OA,438.875000,-,7.600000,Tone,123.0,123.0,FM,12.5,Oława
