Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
114,PMR8-01,446.093750,,0.000000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
115,PMR8-02,446.093750,,0.000000,TSQL,88.5,71.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
116,PMR8-03,446.093750,,0.000000,TSQL,88.5,74.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
117,PMR8-04,446.093750,,0.000000,TSQL,88.5,77.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
118,PMR8-05,446.093750,,0.000000,TSQL,88.5,79.7,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
119,PMR8-06,446.093750,,0.000000,TSQL,88.5,82.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
120,PMR8-07,446.093750,,0.000000,TSQL,88.5,85.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
121,PMR8-08,446.093750,,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
122,PMR8-09,446.093750,,0.000000,TSQL,88.5,91.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
123,PMR8-10,446.093750,,0.000000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
124,PMR8-11,446.093750,,0.000000,TSQL,88.5,97.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
125,PMR8-12,446.093750,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
126,PMR8-13,446.093750,,0.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
127,PMR8-14,446.093750,,0.000000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
128,PMR8-15,446.093750,,0.000000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
129,FRNET1,149.025000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
130,FRNET2,149.037500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
131,FRNET3,149.050000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
132,FRNET4,149.087500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
133,FRNET5,149.100000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
134,FRNET6,149.112500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
135,KDR444 1,444.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
136,KDR444 2,444.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
137,KDR444 3,444.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
138,KDR444 4,444.825000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
139,KDR444 5,444.850000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
140,KDR444 6,444.875000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
141,KDR444 7,444.925000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
142,KDR444 8,444.975000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
143,MURS 1,151.820000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
144,MURS 2,151.880000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
145,MURS 3,151.940000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
146,Blue Dot,154.570000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
147,Green Dot,154.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
148,LPD 01,433.075000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
149,LPD 02,433.100000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
150,LPD 03,433.125000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
151,LPD 04,433.150000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
152,LPD 05,433.175000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
153,LPD 06,433.200000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
154,LPD 07,433.225000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
155,LPD 08,433.250000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
156,LPD 09,433.275000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
157,LPD 10,433.300000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
158,LPD 11,433.325000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
159,LPD 12,433.350000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
160,LPD 13,433.375000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
161,LPD 14,433.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
162,LPD 15,433.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
163,LPD 16,433.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
164,LPD 17,433.475000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
165,LPD 18,433.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
166,LPD 19,433.525000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
167,LPD 20,433.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
168,LPD 21,433.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
169,LPD 22,433.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
170,LPD 23,433.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
