Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
799,MB6KI,144.837500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,KILMARNOCK,,,,
800,MB6KL,431.125000,-,431.125000,,67.0,67.0,023,NN,FM,12.50,,KILMARNOCK,,,,
801,MB6KN,431.162500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,ST HELENS,,,,
802,MB6KS,431.125000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,CANNOCK,,,,
803,MB6KT,434.487500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,KETTERING,,,,
804,MB6KW,431.087500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,KENILWORTH,,,,
805,MB6LA,144.875000,-,144.875000,,67.0,67.0,023,NN,FM,12.50,,LANCASTER,,,,
806,MB6LB,144.825000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,LISBURN,,,,
807,MB6LD,434.500000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,TITCHFIELD,,,,
808,MB6LI,431.137500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,MANCHESTER,,,,
809,MB6LK,431.112500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,ILKESTON,,,,
810,MB6LO,431.087500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,LOWESTOFT,,,,
811,MB6LY,144.850000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,LONDONDERRY,,,,
812,MB6MB,431.075000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,BECKERMET,,,,
813,MB6MC,431.137500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,MINSTERWORTH,,,,
814,MB6MD,433.662500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,GREAT TOTHAM,,,,
815,MB6MK,144.837500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,MILTON KEYNES,,,,
